nome;marca;sku;categoria;descricao;valor_unitario;valor_venda;total_unidades;unidades_minimas;condicao;numero_nota;localizacao_estoque;data_entrada;garantia_meses;voltagem;peso_kg;requer_manutencao;disponivel_locacao
Furadeira de Impacto 750W;Bosch;FER-FUR-750;Elétricas;Furadeira com impacto e mandril 13mm;289.0;389.9;8;2;new;NF-2026-000460;Galpão A-4;2026-01-27;24;Bivolt;28.5;0;0
Furadeira de Impacto 500W;Black & Decker;FER-FUR-500;Elétricas;Furadeira impacto compacta 500W mandril 10mm;198.0;269.0;6;2;new;NF-2026-000453;Galpão A-1;2026-01-20;24;Bivolt;12.8;0;0
Parafusadeira 12V;DeWalt;FER-PAR-12V;Elétricas;Parafusadeira com bateria de lítio;350.0;459.0;6;2;good;NF-2026-000459;Galpão B-3;2026-01-21;6;Bivolt;1.2;0;0
Parafusadeira 18V Premium;Milwaukee;FER-PAR-18V;Elétricas;Parafusadeira brushless 18V bateria 5Ah;890.0;1190.0;3;1;new;NF-2026-000460;Galpão A-5;2026-02-13;24;Bateria;41.0;0;1
Serra Circular 7.1/4 pol;Makita;FER-SRC-714;Corte;Serra circular 7.1/4 1400W com guia paralela;520.0;689.0;4;2;good;NF-2026-000460;Galpão C-3;2026-01-10;6;Bivolt;13.1;0;0
Serra Mármore 1400W;Makita;FER-SER-1400;Corte;Serra mármore para corte de piso e pedra;480.0;629.5;5;1;good;NF-2026-000461;Galpão C-3;2026-03-09;6;110V;43.9;0;0
Serra Tico-Tico 450W;Bosch;FER-STT-450;Corte;Serra tico-tico com movimento pendular 450W;310.0;419.0;4;2;new;NF-2026-000466;Galpão B-4;2026-03-27;36;220V;15.0;0;1
Esmerilhadeira Angular 4.5 pol;Bosch;FER-ESM-412;Corte;Esmerilhadeira angular uso profissional 4.5 polegadas;260.0;347.8;9;2;regular;NF-2026-000452;Galpão C-4;2026-01-05;6;220V;8.7;0;0
Esmerilhadeira Angular 7 pol;DeWalt;FER-ESM-700;Corte;Esmerilhadeira 7 polegadas 2400W profissional;520.0;699.0;3;1;new;NF-2026-000453;Galpão C-4;2026-01-06;24;Bivolt;19.9;0;0
Martelete Rompedor 1500W;Stanley;FER-MAR-1500;Demolição;Martelete para perfuração e demolição leve;890.0;1190.0;3;1;maintenance;NF-2026-000454;Galpão A-1;2026-03-16;12;Bateria;27.8;1;0
Martelete Perfurador 800W SDS;Bosch;FER-MAR-800S;Demolição;Martelete SDS-Plus 800W 3 funções;490.0;659.0;5;2;good;NF-2026-000464;Galpão B-5;2026-03-08;24;220V;23.2;0;1
Rompedor 10J SDS Max;Makita;FER-ROM-10J;Demolição;Rompedor profissional 10 Joules SDS Max;1250.0;1690.0;2;1;new;NF-2026-000456;Galpão B-5;2026-03-25;36;Bivolt;23.4;0;0
Nível a Laser Verde Linha Cruzada;Deko;FER-NIV-LAS;Precisão;Nível a laser de linhas cruzadas verde;220.0;289.9;4;1;new;NF-2026-000466;Galpão B-1;2026-01-04;24;N/A;6.1;0;0
Nível a Laser 5 Linhas;Bosch;FER-NIV-5LN;Precisão;Nível a laser 5 linhas auto nivelador;680.0;899.0;2;1;new;NF-2026-000462;Galpão B-4;2026-03-07;6;N/A;21.1;0;0
Chave de Impacto 1/2 pol;Vonder;FER-CHI-IMP;Fixação;Chave de impacto para parafusos estruturais meia polegada;410.0;540.0;4;1;good;NF-2026-000461;Galpão A-5;2026-03-23;12;N/A;37.2;0;1
Parafusadeira de Impacto 18V;Milwaukee;FER-PAI-18V;Fixação;Parafusadeira de impacto brushless 220Nm;780.0;1050.0;3;1;new;NF-2026-000456;Galpão B-3;2026-03-15;24;N/A;15.0;0;0
Betoneira 400L Monofásica;CSM;FER-BET-400;Concretagem;Betoneira 400 litros 220V monofásica;2950.0;3950.0;2;1;regular;NF-2026-000451;Galpão C-3;2026-03-07;24;220V;41.1;0;0
Betoneira 160L Bivolt;Menegotti;FER-BET-160;Concretagem;Betoneira 160 litros bivolt compacta;980.0;1290.0;3;1;good;NF-2026-000457;Galpão C-2;2026-03-16;24;110V;11.7;0;1
