id_movimentacao;data;hora;sku_produto;nome_produto;tipo_movimentacao;motivo;quantidade;preco_unitario;valor_total;obra_destino;nota_fiscal;usuario_responsavel;lote;observacao
MOV-20260001;2026-02-17;13:38;MAT-TIJ-929;Tijolo Cerâmico 9x19x29;entrada;Retorno de devolução;53;14.82;785.46;;NF-2026-597374;Ana Pereira;LT-7555;
MOV-20260002;2026-02-20;16:30;HID-REG-25;Registro de Esfera 25mm;saida;Consumo interno;170;254.17;43208.9;Obra Residencial Alphaville;;Lucia Santos;;
MOV-20260003;2026-03-25;09:09;MAT-ARE-001;Areia Média Lavada;saida;Transferência entre obras;130;261.2;33956.0;Edifício Central Business;;Ana Pereira;;Verificar prazo de validade
MOV-20260004;2026-02-06;07:02;MAT-GES-020;Gesso em Pó 20kg;saida;Venda;113;279.51;31584.63;Obra Residencial Alphaville;;Marcos Andrade;;
MOV-20260005;2026-01-17;16:40;MAT-CAL-020;Cal Hidratada 20kg;entrada;Compra NF;54;141.74;7653.96;;NF-2026-636659;Fernanda Lima;LT-3115;
MOV-20260006;2026-01-04;18:04;MAT-BRI-001;Brita 1;entrada;Retorno de devolução;191;187.35;35783.85;;NF-2026-198505;Ana Pereira;LT-5984;Verificar prazo de validade
MOV-20260007;2026-01-02;12:50;MAT-ACO-010;Aço CA-50 10mm;entrada;Bonificação fornecedor;132;283.54;37427.28;;NF-2026-175019;Lucia Santos;LT-6406;
MOV-20260008;2026-02-02;09:07;MAT-GES-020;Gesso em Pó 20kg;saida;Transferência entre obras;140;10.0;1400.0;Obra Industrial Jundiaí;;Lucia Santos;;Verificar prazo de validade
MOV-20260009;2026-02-07;12:52;MAT-ARG-020;Argamassa AC-II 20kg;devolucao;Devolução de cliente;46;111.3;5119.8;;NF-2026-733395;João Silva;;
MOV-20260010;2026-02-21;10:33;MAT-CIM-050;Cimento CP II 50kg;entrada;Compra NF;61;62.43;3808.23;;NF-2026-109752;João Silva;LT-9632;
