name;cnpj;email;phone;whatsapp;address;cep;contact_name;contact_role;avg_lead_time;rating;active;payment_terms;min_order_value;website;categorias_fornecidas;banco;agencia;conta;tipo_frete;desconto_volume;certificacoes;data_inicio_parceria;notas
Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;(11) 4001-1200;(11) 94001-1200;Av. Industrial 1500 - Guarulhos/SP;07220-010;Mariana Souza;Gerente Comercial;5;4.8;1;30/60 dias;500.0;www.construforte.com.br;Materiais, Alvenaria;Itaú;0001;12345-6;CIF;3% acima R$5000;ISO 9001, PBQP-H;2022-03-15;Fornecedor principal de cimento e areia. Contrato anual.
Pedreira Vale Azul;22.334.556/0001-08;comercial@pedreiravaleazul.com.br;(11) 3999-8800;(11) 99999-8800;Rod. BR 381 km 42 - Atibaia/SP;12950-000;Carlos Nunes;Diretor Comercial;7;4.5;1;28 dias;800.0;www.pedreiravaleazul.com.br;Materiais (agregados);Bradesco;1234;98765-4;FOB;5% acima 10m³;ISO 14001;2021-08-01;Fornecedor de brita, areia grossa e pedrisco. Entrega no canteiro.
Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;(11) 3777-2200;(11) 93777-2200;Rua das Ligas 210 - São Paulo/SP;03003-000;Fernanda Lima;Executiva de Vendas;8;4.6;1;30 dias;1000.0;www.metalsupply.com.br;Estrutural, Solda;Santander;2345;55544-3;CIF;2% acima R$3000;ISO 9001;2020-05-10;Aço CA-50, CA-60 e eletrodos. Entrega em 8 dias úteis.
Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;(19) 3555-1919;(19) 99555-1919;Estrada da Cerâmica 90 - Limeira/SP;13480-000;João Prado;Representante Regional;10;4.4;1;30/60/90 dias;2000.0;www.ceramicasantaluz.com.br;Alvenaria, Acabamento;Caixa Econômica;3456;00112233-4;CIF acima R$3000;4% acima R$5000;INMETRO, ISO 9001;2019-11-20;Cerâmicas, porcelanatos e tijolos. Requer pedido mínimo R$2000.
Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;(11) 3444-8181;(11) 93444-8181;Al. Revestir 77 - Barueri/SP;06454-000;Priscila Gomes;Consultora Técnica;6;4.7;1;21/42 dias;400.0;www.acabamax.com.br;Acabamento, Gesso;Itaú;4567;22211-0;CIF;5% acima R$2000;ISO 9001, PSQ-ABCP;2021-02-28;Argamassas, rejuntes, massa corrida e gesso. Pronta entrega.
Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;(11) 3666-7700;(11) 96666-7700;Rua Segurança 33 - Osasco/SP;06060-100;Rafael Teles;Gerente de Contas;4;4.9;1;15/30 dias;200.0;www.casadoepi.com.br;EPI;Nubank;0001;33322-1;CIF acima R$500;6% acima R$1000;CA homologado MTE;2022-07-05;Entrega rápida. Todos CAs atualizados. Estoque farto.
Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;(11) 3888-1010;(11) 93888-1010;Av. Ferramentas 500 - Santo André/SP;09090-000;Luciana Mello;Coordenadora Comercial;5;4.3;1;30 dias;300.0;www.ferragensnobre.com.br;Ferramentas, Fixação;Bradesco;5678;44433-2;FOB;3% acima R$2000;ISO 9001;2023-01-10;Ferramentas manuais, elétricas e consumíveis. Portfólio amplo.
Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;(11) 3222-4545;(11) 93222-4545;Rua das Cores 18 - Campinas/SP;13050-000;Leandro Pires;Vendedor Técnico;7;4.2;1;30/60 dias;600.0;www.tintashorizonte.com.br;Pintura;Santander;6789;55544-3;CIF acima R$1200;4% acima R$3000;ISO 9001, ABRAFATI;2020-09-15;Fornecimento por pallet. Paleta de cores sob consulta.
EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;(11) 3111-2323;(11) 93111-2323;Rua Voltagem 440 - São Paulo/SP;04004-000;Patrícia Nogueira;Analista Comercial;6;4.5;1;28 dias;250.0;www.eletromais.com.br;Elétrica;Itaú;7890;66655-4;CIF;5% acima R$1500;ISO 9001, INMETRO;2021-06-20;Cabos e materiais elétricos em bobina. Certificação INMETRO.
Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;(11) 3777-6868;(11) 93777-6868;Av. Tubulações 900 - São Bernardo/SP;09750-000;Diego Azevedo;Supervisor de Vendas;6;4.6;1;30 dias;350.0;www.hidrocenter.com.br;Hidráulica;Caixa Econômica;8901;77766-5;CIF acima R$700;4% acima R$2500;ISO 9001, ABNT NBR;2022-10-01;Linha hidráulica PVC soldável completa. Entrega em 6 dias.
MaderTech Ltda;11.222.333/0001-44;vendas@madertech.com.br;(11) 3500-2200;(11) 93500-2200;Av. das Madeiras 300 - Mogi das Cruzes/SP;08730-000;Roberta Campos;Gerente Comercial;9;4.1;1;30/60 dias;700.0;www.madertech.com.br;Madeira e Compensados;Bradesco;9012;88877-6;FOB;5% acima R$3000;FSC, IBAMA;2023-04-20;Madeiras serradas, compensados e OSB certificados.
Impermeabiliza SP;22.111.444/0001-33;impermeavel@impermeabilizasp.com.br;(11) 3600-1100;(11) 96600-1100;Rua das Mantas 45 - São Paulo/SP;01310-000;Sandro Alves;Técnico Comercial;5;4.0;0;30 dias;500.0;www.impermeabilizasp.com.br;Impermeabilização;Santander;0123;99988-7;CIF;Não pratica;ABNT NBR;2024-01-15;Fornecedor em avaliação. Produto de qualidade, prazo em análise.
