numero_pedido;data_pedido;fornecedor;email_fornecedor;status;valor_produtos;desconto_percentual;valor_frete;valor_total;prazo_entrega_dias;data_prevista_entrega;data_real_entrega;condicao_pagamento;obra_destino;aprovado_por;observacoes
PC-2026-0001;2026-01-08;Construforte Ltda;compras@construforte.com.br;aprovado;23597.43;7.1;84.35;22006.36;14;2026-01-22;;28 dias;Reforma Comercial SP;Gerente de Compras;Verificar disponibilidade
PC-2026-0002;2026-01-04;Casa do EPI;vendas@casadoepi.com.br;aprovado;24639.92;0.6;133.67;24625.75;9;2026-01-13;;30/60 dias;Depósito Central;CEO;
PC-2026-0003;2026-02-18;Casa do EPI;vendas@casadoepi.com.br;enviado_fornecedor;18390.33;6.9;286.44;17407.84;20;2026-03-10;;21/42 dias;Edifício Central Business;Dir. Financeiro;
PC-2026-0004;2026-03-05;Metal Supply Brasil;vendas@metalsupply.com.br;parcialmente_recebido;4586.49;5.1;229.79;4582.37;14;2026-03-19;2026-03-17;30/60 dias;Edifício Central Business;Dir. Financeiro;
PC-2026-0005;2026-01-17;Metal Supply Brasil;vendas@metalsupply.com.br;parcialmente_recebido;11505.13;2.6;25.47;11231.47;15;2026-02-01;2026-02-02;À vista;Obra Industrial Jundiaí;CEO;
PC-2026-0006;2026-03-22;Hidro Center;hidraulica@hidrocenter.com.br;enviado_fornecedor;15971.14;5.9;231.91;15260.75;19;2026-04-10;;30/60 dias;Depósito Central;Dir. Financeiro;
PC-2026-0007;2026-02-06;Hidro Center;hidraulica@hidrocenter.com.br;parcialmente_recebido;17355.45;1.2;106.22;17253.4;19;2026-02-25;2026-03-01;À vista;Reforma Comercial SP;CEO;
PC-2026-0008;2026-02-05;Metal Supply Brasil;vendas@metalsupply.com.br;recebido_total;3240.75;6.9;144.41;3161.55;13;2026-02-18;2026-02-20;30/60 dias;Obra Industrial Jundiaí;CEO;
PC-2026-0009;2026-02-09;Hidro Center;hidraulica@hidrocenter.com.br;enviado_fornecedor;8097.74;4.4;168.25;7909.69;16;2026-02-25;;À vista;Condomínio Verde Mar;CEO;Negociar prazo maior
PC-2026-0010;2026-03-22;Metal Supply Brasil;vendas@metalsupply.com.br;parcialmente_recebido;19077.86;3.1;23.55;18510.0;11;2026-04-02;2026-04-05;30/60 dias;Reforma Comercial SP;Dir. Financeiro;Verificar disponibilidade
PC-2026-0011;2026-02-03;Acabamax Revestimentos;orcamento@acabamax.com.br;enviado_fornecedor;10974.04;5.2;329.28;10732.67;17;2026-02-20;;30 dias;Condomínio Verde Mar;Gerente de Compras;Verificar disponibilidade
PC-2026-0012;2026-02-20;Pedreira Vale Azul;comercial@pedreiravaleazul.com.br;enviado_fornecedor;1905.58;1.5;237.84;2114.84;11;2026-03-03;;30/60 dias;Obra Residencial Alphaville;Dir. Financeiro;Urgente para obra
PC-2026-0013;2026-01-13;EletroMais;eletrica@eletromais.com.br;aguardando_aprovacao;3524.8;6.0;333.02;3646.33;17;2026-01-30;;21/42 dias;Obra Residencial Alphaville;;
PC-2026-0014;2026-02-18;Casa do EPI;vendas@casadoepi.com.br;cancelado;5308.54;3.6;1.94;5119.37;5;2026-02-23;;21/42 dias;Obra Residencial Alphaville;Gerente de Compras;
PC-2026-0015;2026-01-01;Casa do EPI;vendas@casadoepi.com.br;parcialmente_recebido;6398.27;3.7;243.05;6404.58;14;2026-01-15;2026-01-20;21/42 dias;Obra Residencial Alphaville;Gerente de Compras;Negociar prazo maior
PC-2026-0016;2026-02-03;Metal Supply Brasil;vendas@metalsupply.com.br;recebido_total;18075.9;0.5;341.11;18326.63;6;2026-02-09;2026-02-11;30 dias;Condomínio Verde Mar;CEO;
PC-2026-0017;2026-03-28;Pedreira Vale Azul;comercial@pedreiravaleazul.com.br;aprovado;15609.29;3.0;182.51;15323.52;21;2026-04-18;;À vista;Condomínio Verde Mar;Gerente de Compras;
PC-2026-0018;2026-03-22;Casa do EPI;vendas@casadoepi.com.br;enviado_fornecedor;17923.51;2.9;190.25;17593.98;10;2026-04-01;;21/42 dias;Edifício Central Business;CEO;Verificar disponibilidade
PC-2026-0019;2026-01-04;Construforte Ltda;compras@construforte.com.br;enviado_fornecedor;4924.52;5.9;4.26;4638.23;8;2026-01-12;;21/42 dias;Depósito Central;CEO;Urgente para obra
PC-2026-0020;2026-02-13;Tintas Horizonte;comercial@tintashorizonte.com.br;rascunho;24768.83;5.8;133.48;23465.72;7;2026-02-20;;À vista;Obra Residencial Alphaville;;Urgente para obra
