sku;produto_nome;categoria;fornecedor;cnpj_fornecedor;email_fornecedor;preco_custo;preco_venda;margem;estoque_atual;estoque_minimo;status_estoque;lead_time_dias;rating_fornecedor;prioridade_reposicao
MAT-CIM-050;Cimento CP II 50kg;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;31.4;45.9;31.6;174;74;OK;5;4.8;NORMAL
MAT-CIM-051;Cimento CP V ARI 50kg;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;33.0;48.5;32.0;384;51;OK;5;4.8;NORMAL
MAT-ARE-001;Areia Média Lavada;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;95.0;145.0;34.5;369;58;OK;5;4.8;NORMAL
MAT-ARE-002;Areia Grossa (m³);Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;88.0;135.0;34.8;78;40;BAIXO;5;4.8;NORMAL
MAT-CAL-020;Cal Hidratada 20kg;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;18.5;28.0;33.9;78;77;BAIXO;5;4.8;MONITORAR
MAT-OSB-015;Painel OSB 15mm;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;89.0;138.0;35.5;686;71;OK;5;4.8;NORMAL
MAT-BLC-001;Bloco de Concreto 14x19x39;Alvenaria;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;3.2;5.5;41.8;2794;1291;OK;5;4.8;NORMAL
MAT-BLC-AAC;Bloco Celular AAC 20x25x60;Alvenaria;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;12.5;19.9;37.2;2626;834;OK;5;4.8;NORMAL
MAT-TEL-FIB;Telha Ondulada Fibrocimento 6mm;Alvenaria;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;32.0;52.0;38.5;2257;1964;BAIXO;5;4.8;MONITORAR
MAT-LAJ-H12;Laje Pré-moldada H12;Alvenaria;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;65.0;98.0;33.7;5338;870;OK;5;4.8;NORMAL
MAT-GES-001;Gesso Acartonado 120x180;Materiais;Construforte Ltda;12.345.678/0001-95;compras@construforte.com.br;42.0;68.0;38.2;576;80;OK;5;4.8;NORMAL
