nome;sku;categoria;estoque;preco_custo;preco_venda;margem_percentual;unidade;codigo_barras;estoque_minimo;descricao;fornecedor_principal;ativo;permite_venda_fracionada;ncm;peso_kg;data_ultima_compra
Cimento CP II 50kg;MAT-CIM-050;Materiais;174;31.4;45.9;31.6;saco;7891000100011;74;Cimento estrutural para alvenaria e concreto;Construforte Ltda;1;0;4311.35.16;23.25;2026-03-15
Cimento CP V ARI 50kg;MAT-CIM-051;Materiais;384;33.0;48.5;32.0;saco;7891000100111;51;Cimento de alta resistência inicial;Construforte Ltda;1;0;4033.66.70;33.11;2026-02-16
Areia Média Lavada;MAT-ARE-001;Materiais;369;95.0;145.0;34.5;m3;7891000100012;58;Areia para reboco e concretagem;Construforte Ltda;1;1;3590.34.26;26.29;2026-01-23
Areia Grossa (m³);MAT-ARE-002;Materiais;78;88.0;135.0;34.8;m3;7891000100112;40;Areia para concreto e argamassa grossa;Construforte Ltda;1;1;7630.11.73;48.8;2026-02-27
Brita 1;MAT-BRI-001;Materiais;772;110.0;168.5;34.7;m3;7891000100013;37;Brita graduada para concreto usinado;Pedreira Vale Azul;1;1;9055.36.54;11.71;2026-03-13
Brita 0 (Pedrisco);MAT-BRI-002;Materiais;354;105.0;160.0;34.4;m3;7891000100113;42;Pedrisco para concreto magro e calçadas;Pedreira Vale Azul;1;1;3701.59.37;10.48;2026-02-15
Cal Hidratada 20kg;MAT-CAL-020;Materiais;78;18.5;28.0;33.9;saco;7891000100211;77;Cal para reboco e pintura;Construforte Ltda;1;0;3553.41.22;33.91;2026-03-20
Gesso Acartonado 120x180;MAT-GES-001;Materiais;576;42.0;68.0;38.2;chapa;7891000100311;80;Chapa de drywall standard;Acabamax Revestimentos;1;0;7832.87.49;16.0;2026-01-02
Painel OSB 15mm;MAT-OSB-015;Materiais;686;89.0;138.0;35.5;chapa;7891000100411;71;Painel OSB para fôrmas e revestimento;Construforte Ltda;1;0;5922.54.95;19.59;2026-03-23
Tijolo Cerâmico 9x19x29;MAT-TIJ-929;Alvenaria;5408;0.82;1.35;39.3;un;7891000100015;1763;Tijolo cerâmico vedação 9x19x29;Cerâmica Santa Luz;1;0;3222.89.12;33.25;2026-02-15
Tijolo Furado 6 Furos;MAT-TIJ-006;Alvenaria;4473;0.65;1.1;40.9;un;7891000100511;1854;Tijolo furado 6 furos para vedação;Cerâmica Santa Luz;1;0;4776.15.90;32.81;2026-01-07
Bloco de Concreto 14x19x39;MAT-BLC-001;Alvenaria;2794;3.2;5.5;41.8;un;7891000100611;1291;Bloco estrutural de concreto;Construforte Ltda;1;0;5811.30.49;42.42;2026-01-15
Bloco Celular AAC 20x25x60;MAT-BLC-AAC;Alvenaria;2626;12.5;19.9;37.2;un;7891000100612;834;Bloco de concreto celular autoclavado;Construforte Ltda;1;0;7965.49.57;1.67;2026-03-11
Telha Cerâmica Portuguesa;MAT-TEL-001;Alvenaria;2372;2.8;4.9;42.9;un;7891000100711;222;Telha cerâmica portuguesa padrão;Cerâmica Santa Luz;1;0;8471.14.39;29.81;2026-03-05
Telha Ondulada Fibrocimento 6mm;MAT-TEL-FIB;Alvenaria;2257;32.0;52.0;38.5;m2;7891000100712;1964;Telha fibrocimento antichama;Construforte Ltda;1;1;7458.92.85;39.28;2026-01-10
Laje Pré-moldada H12;MAT-LAJ-H12;Alvenaria;5338;65.0;98.0;33.7;m2;7891000100811;870;Laje treliçada para telhado e piso;Construforte Ltda;1;1;4658.85.43;13.46;2026-01-07
Aço CA-50 10mm;MAT-ACO-010;Estrutural;257;42.2;62.8;32.8;barra;7891000100014;43;Barra de aço nervurado CA-50 10mm;Metal Supply Brasil;1;0;4068.66.87;20.95;2026-03-18
Aço CA-60 6.3mm;MAT-ACO-063;Estrutural;297;28.5;44.0;35.2;barra;7891000100141;34;Barra de aço CA-60 6.3mm;Metal Supply Brasil;1;0;9578.25.44;30.98;2026-01-23
Aço CA-50 12.5mm;MAT-ACO-125;Estrutural;89;64.0;95.0;32.6;barra;7891000100142;45;Barra de aço nervurado 12.5mm;Metal Supply Brasil;1;0;3443.10.45;40.81;2026-01-09
Arame Recozido 1.2mm;MAT-ARM-012;Estrutural;171;8.9;14.5;38.6;kg;7891000100911;42;Arame para amarração de ferragem;Metal Supply Brasil;1;0;7209.99.87;39.06;2026-03-21
Perfil I HEB 200;MAT-PER-I20;Estrutural;111;380.0;560.0;32.1;barra;7891000101011;40;Perfil I metálico HEB 200 6m;Metal Supply Brasil;1;0;3937.37.85;43.91;2026-02-10
Perfil U 150x2.65mm;MAT-PER-U15;Estrutural;109;45.0;72.0;37.5;barra;7891000101012;15;Perfil U enformado a frio galvanizado;Metal Supply Brasil;1;0;5771.56.13;41.03;2026-02-09
Tela Soldada Q-138;MAT-TEL-Q138;Estrutural;333;22.0;34.0;35.3;m2;7891000101111;21;Tela soldada para piso e laje;Metal Supply Brasil;1;1;4326.83.65;22.89;2026-01-22
Argamassa AC-II 20kg;MAT-ARG-020;Acabamento;403;19.7;29.9;34.1;saco;7891000100016;33;Argamassa colante AC-II para revestimento;Acabamax Revestimentos;1;0;7737.29.65;24.61;2026-03-01
Argamassa AC-III Flex 20kg;MAT-ARG-030;Acabamento;428;28.0;42.5;34.1;saco;7891000100161;34;Argamassa colante AC-III para grandes formatos;Acabamax Revestimentos;1;0;9829.46.84;28.02;2026-03-20
Rejunte Flexível Cinza 1kg;MAT-REJ-001;Acabamento;83;4.8;8.9;46.1;un;7891000100017;24;Rejunte flexível para áreas internas e externas;Acabamax Revestimentos;1;0;8588.51.42;30.82;2026-01-07
Rejunte Branco 1kg;MAT-REJ-BRA;Acabamento;427;4.5;8.5;47.1;un;7891000100171;36;Rejunte flexível branco resistente a manchas;Acabamax Revestimentos;1;0;9628.72.94;36.93;2026-01-06
Massa Corrida PVA 25kg;MAT-MAS-025;Acabamento;472;68.0;98.0;30.6;balde;7891000101211;41;Massa corrida para internos em alvenaria;Acabamax Revestimentos;1;0;7727.37.22;11.95;2026-02-16
Gesso em Pó 20kg;MAT-GES-020;Acabamento;177;22.0;35.0;37.1;saco;7891000101311;27;Gesso em pó para revestimento interno;Acabamax Revestimentos;1;0;5142.87.55;1.69;2026-03-06
Porcelanato 60x60 Polido;MAT-POR-6060;Acabamento;514;55.0;89.0;38.2;m2;7891000101411;31;Porcelanato polido linha premium;Cerâmica Santa Luz;1;1;9067.10.54;15.08;2026-01-13
Piso Cerâmico 45x45;MAT-PIS-4545;Acabamento;124;28.0;45.0;37.8;m2;7891000101412;24;Piso cerâmico PEI 4 para ambientes comerciais;Cerâmica Santa Luz;1;1;6673.31.89;13.22;2026-02-15
Revestimento Externo 20x20;MAT-REV-2020;Acabamento;92;24.0;38.0;36.8;m2;7891000101413;44;Revestimento externo resistente à intempérie;Cerâmica Santa Luz;1;1;5266.28.89;6.49;2026-02-23
Tinta Acrílica Branco Fosco 18L;PNT-TIN-18;Pintura;52;189.0;269.0;29.7;lata;7891000100023;19;Tinta acrílica premium branco fosco;Tintas Horizonte;1;0;4930.99.79;13.52;2026-03-17
Tinta Acrílica Fosca 3,6L;PNT-TIN-3A;Pintura;166;58.0;89.0;34.8;lata;7891000100231;29;Tinta acrílica fosca diversas cores;Tintas Horizonte;1;0;4688.66.14;44.38;2026-01-19
Tinta Esmalte Sintetico 3,6L;PNT-ESM-36;Pintura;16;72.0;110.0;34.5;lata;7891000101511;8;Esmalte sintético brilhante madeira e metal;Tintas Horizonte;1;0;9381.28.63;29.66;2026-02-06
Selador Acrílico 18L;PNT-SEL-18;Pintura;135;122.0;179.9;32.2;lata;7891000100024;27;Selador para preparação de paredes internas;Tintas Horizonte;1;0;8281.36.34;49.82;2026-03-15
Primer Antiferrugem 900ml;PNT-PRI-900;Pintura;71;35.0;56.0;37.5;lata;7891000101611;16;Primer anticorrosivo para metal;Tintas Horizonte;1;0;4361.50.97;36.17;2026-02-14
Verniz Marítimo 900ml;PNT-VER-900;Pintura;139;48.0;75.0;36.0;lata;7891000101711;14;Verniz transparente para madeira externa;Tintas Horizonte;1;0;6670.99.48;11.7;2026-01-18
Textura Grafiato 25kg;PNT-TEX-025;Pintura;37;98.0;148.0;33.8;balde;7891000101811;11;Textura grafiato para fachadas;Tintas Horizonte;1;0;6000.73.96;12.68;2026-03-28
